,points,xp,diff,played_games,wins,draws,losses,scored,suffered,goals_diff,xg_scored,xg_suffered,xg_diff
Amiens,23.0,32.6,-9.600000000000001,28.0,4.0,11.0,13.0,31.0,50.0,-19.0,27.7,39.3,-11.599999999999998
Angers,39.0,39.19,-0.18999999999999773,28.0,11.0,6.0,11.0,28.0,33.0,-5.0,29.2,28.4,0.8000000000000007
Bordeaux,37.0,36.2,0.7999999999999972,28.0,9.0,10.0,9.0,40.0,34.0,6.0,30.5,36.7,-6.200000000000003
Brest,34.0,31.189999999999998,2.8100000000000023,28.0,8.0,10.0,10.0,34.0,37.0,-3.0,30.6,45.6,-15.0
Dijon,30.0,34.55,-4.549999999999997,28.0,7.0,9.0,12.0,27.0,37.0,-10.0,30.5,38.3,-7.799999999999997
Lille,49.0,44.519999999999996,4.480000000000004,28.0,15.0,4.0,9.0,35.0,27.0,8.0,40.2,31.5,8.700000000000003
Lyon,40.0,44.53,-4.530000000000001,28.0,11.0,7.0,10.0,42.0,27.0,15.0,37.6,26.9,10.700000000000003
Marseille,56.0,40.94,15.060000000000002,28.0,16.0,8.0,4.0,41.0,29.0,12.0,36.2,31.8,4.400000000000002
Metz,34.0,30.48,3.5199999999999996,28.0,8.0,10.0,10.0,27.0,35.0,-8.0,27.0,38.2,-11.200000000000003
Monaco,40.0,40.97,-0.9699999999999989,28.0,11.0,7.0,10.0,44.0,44.0,0.0,48.5,42.900000000000006,5.599999999999994
Montpellier,40.0,38.16,1.8400000000000034,28.0,11.0,7.0,10.0,35.0,34.0,1.0,34.900000000000006,34.5,0.4000000000000057
Nantes,37.0,36.95,0.04999999999999716,28.0,11.0,4.0,13.0,28.0,31.0,-3.0,30.0,31.4,-1.3999999999999986
Nice,41.0,34.21,6.789999999999999,28.0,11.0,8.0,9.0,41.0,38.0,3.0,35.8,44.1,-8.300000000000004
Nîmes,27.0,33.75,-6.75,28.0,7.0,6.0,15.0,29.0,44.0,-15.0,30.400000000000002,41.1,-10.7
Paris S-G,68.0,62.300000000000004,5.699999999999996,27.0,22.0,2.0,3.0,75.0,24.0,51.0,74.19999999999999,23.2,50.999999999999986
Reims,41.0,40.19,0.8100000000000023,28.0,10.0,11.0,7.0,26.0,21.0,5.0,30.700000000000003,28.700000000000003,2.0
Rennes,50.0,41.93,8.07,28.0,15.0,5.0,8.0,38.0,24.0,14.0,37.2,30.1,7.100000000000001
Saint-Étienne,30.0,34.68,-4.68,28.0,8.0,6.0,14.0,29.0,45.0,-16.0,31.6,38.7,-7.100000000000001
Strasbourg,38.0,38.64,-0.6400000000000006,27.0,11.0,5.0,11.0,32.0,32.0,0.0,34.4,31.9,2.5
Toulouse,13.0,30.919999999999998,-17.919999999999998,28.0,3.0,4.0,21.0,22.0,58.0,-36.0,31.599999999999998,45.5,-13.900000000000002
