,points,xp,diff,played_games,wins,draws,losses,scored,suffered,goals_diff,xg_scored,xg_suffered,xg_diff
Alavés,50.0,45.83,4.170000000000002,38.0,13.0,11.0,14.0,39.0,50.0,-11.0,41.4,53.2,-11.800000000000004
Athletic Club,53.0,50.69,2.3100000000000023,38.0,13.0,14.0,11.0,41.0,45.0,-4.0,43.4,45.7,-2.3000000000000043
Atlético Madrid,76.0,54.94,21.060000000000002,38.0,22.0,10.0,6.0,55.0,29.0,26.0,47.0,41.900000000000006,5.099999999999994
Barcelona,87.0,68.27,18.730000000000004,38.0,26.0,9.0,3.0,90.0,36.0,54.0,75.8,45.2,30.599999999999994
Betis,50.0,51.55,-1.5499999999999972,38.0,14.0,8.0,16.0,44.0,52.0,-8.0,46.8,49.0,-2.200000000000003
Celta Vigo,41.0,42.980000000000004,-1.980000000000004,38.0,10.0,11.0,17.0,53.0,62.0,-9.0,46.5,60.8,-14.299999999999997
Eibar,47.0,57.11,-10.11,38.0,11.0,14.0,13.0,46.0,50.0,-4.0,54.699999999999996,45.900000000000006,8.79999999999999
Espanyol,53.0,49.66,3.3400000000000034,38.0,14.0,11.0,13.0,48.0,50.0,-2.0,49.2,53.9,-4.699999999999996
Getafe,59.0,52.78,6.219999999999999,38.0,15.0,14.0,9.0,48.0,35.0,13.0,46.3,43.7,2.5999999999999943
Girona,37.0,47.43,-10.43,38.0,9.0,10.0,19.0,37.0,53.0,-16.0,43.3,52.7,-9.400000000000006
Huesca,33.0,47.2,-14.200000000000003,38.0,7.0,12.0,19.0,43.0,65.0,-22.0,51.0,60.0,-9.0
Leganés,45.0,53.05,-8.049999999999997,38.0,11.0,12.0,15.0,37.0,43.0,-6.0,40.9,40.900000000000006,-7.105427357601002e-15
Levante,44.0,41.81,2.1899999999999977,38.0,11.0,11.0,16.0,59.0,66.0,-7.0,53.8,76.4,-22.60000000000001
Rayo Vallecano,32.0,46.18,-14.18,38.0,8.0,8.0,22.0,41.0,70.0,-29.0,48.599999999999994,60.099999999999994,-11.5
Real Madrid,68.0,63.599999999999994,4.400000000000006,38.0,21.0,5.0,12.0,63.0,46.0,17.0,66.6,47.099999999999994,19.5
Real Sociedad,50.0,51.93,-1.9299999999999997,38.0,13.0,11.0,14.0,45.0,46.0,-1.0,49.8,48.7,1.0999999999999943
Sevilla,59.0,63.059999999999995,-4.059999999999995,38.0,17.0,8.0,13.0,62.0,47.0,15.0,66.6,45.4,21.199999999999996
Valencia,61.0,62.7,-1.7000000000000028,38.0,15.0,16.0,7.0,51.0,35.0,16.0,61.0,43.0,18.0
Valladolid,41.0,41.519999999999996,-0.519999999999996,38.0,10.0,11.0,17.0,32.0,51.0,-19.0,40.900000000000006,58.9,-17.999999999999993
Villarreal,44.0,52.46,-8.46,38.0,10.0,14.0,14.0,49.0,52.0,-3.0,53.8,54.9,-1.1000000000000014
