,points,xp,diff,played_games,wins,draws,losses,scored,suffered,goals_diff,xg_scored,xg_suffered,xg_diff
Arsenal,56.0,48.36,7.640000000000001,38.0,14.0,14.0,10.0,56.0,48.0,8.0,47.0,55.599999999999994,-8.599999999999994
Aston Villa,35.0,39.92,-4.920000000000002,38.0,9.0,8.0,21.0,41.0,67.0,-26.0,44.2,67.7,-23.5
Bournemouth,34.0,41.64,-7.640000000000001,38.0,9.0,7.0,22.0,40.0,65.0,-25.0,44.8,62.3,-17.5
Brighton,41.0,49.89,-8.89,38.0,9.0,14.0,15.0,39.0,54.0,-15.0,45.8,54.9,-9.100000000000001
Burnley,54.0,50.42,3.5799999999999983,38.0,15.0,9.0,14.0,43.0,50.0,-7.0,47.5,50.0,-2.5
Chelsea,66.0,70.27,-4.269999999999996,38.0,20.0,6.0,12.0,69.0,54.0,15.0,69.2,38.7,30.5
Crystal Palace,43.0,40.7,2.299999999999997,38.0,11.0,10.0,17.0,31.0,50.0,-19.0,36.0,56.9,-20.9
Everton,49.0,53.86,-4.859999999999999,38.0,13.0,10.0,15.0,44.0,56.0,-12.0,50.8,48.3,2.5
Leicester City,62.0,61.730000000000004,0.269999999999996,38.0,18.0,8.0,12.0,67.0,41.0,26.0,62.0,45.3,16.700000000000003
Liverpool,99.0,70.28,28.72,38.0,32.0,3.0,3.0,85.0,33.0,52.0,68.8,37.6,31.199999999999996
Manchester City,81.0,81.08,-0.0799999999999983,38.0,26.0,3.0,9.0,102.0,35.0,67.0,92.0,36.5,55.5
Manchester Utd,66.0,66.75,-0.75,38.0,18.0,12.0,8.0,66.0,36.0,30.0,62.199999999999996,37.8,24.4
Newcastle Utd,44.0,33.67,10.329999999999998,38.0,11.0,11.0,16.0,38.0,58.0,-20.0,35.5,65.6,-30.099999999999994
Norwich City,21.0,35.93,-14.93,38.0,5.0,6.0,27.0,26.0,75.0,-49.0,37.099999999999994,66.5,-29.400000000000006
Sheffield Utd,54.0,47.239999999999995,6.760000000000005,38.0,14.0,12.0,12.0,39.0,39.0,0.0,43.0,51.3,-8.299999999999997
Southampton,52.0,57.5,-5.5,38.0,15.0,7.0,16.0,51.0,60.0,-9.0,56.2,53.099999999999994,3.1000000000000085
Tottenham,59.0,48.33,10.670000000000002,38.0,16.0,11.0,11.0,61.0,47.0,14.0,47.8,54.0,-6.200000000000003
Watford,34.0,49.120000000000005,-15.120000000000005,38.0,8.0,10.0,20.0,36.0,64.0,-28.0,49.0,58.1,-9.100000000000001
West Ham,39.0,43.08,-4.079999999999998,38.0,10.0,9.0,19.0,49.0,62.0,-13.0,48.9,63.7,-14.800000000000004
Wolves,59.0,61.91,-2.9099999999999966,38.0,15.0,14.0,9.0,51.0,40.0,11.0,54.2,38.099999999999994,16.10000000000001
