,points,xp,diff,played_games,wins,draws,losses,scored,suffered,goals_diff,xg_scored,xg_suffered,xg_diff
Amiens,45.0,37.64,7.359999999999999,38.0,12.0,9.0,17.0,37.0,42.0,-5.0,32.4,55.1,-22.700000000000003
Angers,41.0,53.120000000000005,-12.120000000000005,38.0,9.0,14.0,15.0,42.0,52.0,-10.0,47.5,45.900000000000006,1.5999999999999943
Bordeaux,55.0,56.129999999999995,-1.1299999999999955,38.0,16.0,7.0,15.0,53.0,48.0,5.0,51.2,43.8,7.400000000000006
Caen,38.0,49.629999999999995,-11.629999999999995,38.0,10.0,8.0,20.0,27.0,52.0,-25.0,42.8,47.7,-4.900000000000006
Dijon,48.0,40.620000000000005,7.3799999999999955,38.0,13.0,9.0,16.0,55.0,73.0,-18.0,41.5,63.5,-22.0
Guingamp,47.0,49.53,-2.530000000000001,38.0,12.0,11.0,15.0,48.0,59.0,-11.0,45.9,49.0,-3.1000000000000014
Lille,38.0,38.08,-0.0799999999999983,38.0,10.0,8.0,20.0,41.0,67.0,-26.0,36.400000000000006,57.900000000000006,-21.5
Lyon,78.0,65.6,12.400000000000006,38.0,23.0,9.0,6.0,87.0,43.0,44.0,63.2,40.3,22.900000000000006
Marseille,77.0,73.65,3.3499999999999943,38.0,22.0,11.0,5.0,80.0,47.0,33.0,78.30000000000001,41.9,36.40000000000001
Metz,26.0,36.58,-10.579999999999998,38.0,6.0,8.0,24.0,34.0,76.0,-42.0,40.2,71.1,-30.89999999999999
Monaco,80.0,61.81999999999999,18.180000000000007,38.0,24.0,8.0,6.0,85.0,45.0,40.0,62.6,48.4,14.200000000000003
Montpellier,51.0,54.36,-3.3599999999999994,38.0,11.0,18.0,9.0,36.0,33.0,3.0,42.6,39.0,3.6000000000000014
Nantes,52.0,55.3,-3.299999999999997,38.0,14.0,10.0,14.0,36.0,41.0,-5.0,42.0,37.7,4.299999999999997
Nice,54.0,52.72,1.2800000000000011,38.0,15.0,9.0,14.0,53.0,52.0,1.0,49.3,49.7,-0.4000000000000057
Paris S-G,93.0,79.12,13.879999999999995,38.0,29.0,6.0,3.0,108.0,29.0,79.0,86.1,34.6,51.49999999999999
Rennes,58.0,53.269999999999996,4.730000000000004,38.0,16.0,10.0,12.0,50.0,44.0,6.0,49.599999999999994,49.400000000000006,0.19999999999998863
Saint-Étienne,55.0,51.18,3.8200000000000003,38.0,15.0,10.0,13.0,47.0,50.0,-3.0,51.1,54.2,-3.1000000000000014
Strasbourg,38.0,46.129999999999995,-8.129999999999995,38.0,9.0,11.0,18.0,44.0,67.0,-23.0,45.599999999999994,58.5,-12.900000000000006
Toulouse,37.0,49.55,-12.549999999999997,38.0,9.0,10.0,19.0,38.0,54.0,-16.0,45.6,52.0,-6.399999999999999
Troyes,33.0,43.379999999999995,-10.379999999999995,38.0,9.0,6.0,23.0,32.0,59.0,-27.0,37.8,52.0,-14.200000000000003
