,points,xp,diff,played_games,wins,draws,losses,scored,suffered,goals_diff,xg_scored,xg_suffered,xg_diff
Augsburg,36.0,40.709999999999994,-4.709999999999994,34.0,9.0,9.0,16.0,45.0,63.0,-18.0,42.9,56.5,-13.600000000000001
Bayern Munich,82.0,72.75999999999999,9.240000000000009,34.0,26.0,4.0,4.0,100.0,32.0,68.0,89.4,37.900000000000006,51.5
Dortmund,69.0,59.47,9.530000000000001,34.0,21.0,6.0,7.0,84.0,41.0,43.0,60.7,40.9,19.800000000000004
Düsseldorf,30.0,34.62,-4.619999999999997,34.0,6.0,12.0,16.0,36.0,67.0,-31.0,36.099999999999994,61.0,-24.900000000000006
Eint Frankfurt,45.0,52.29,-7.289999999999999,34.0,13.0,6.0,15.0,59.0,60.0,-1.0,59.4,49.9,9.5
Freiburg,48.0,39.53,8.469999999999999,34.0,13.0,9.0,12.0,48.0,47.0,1.0,46.7,64.5,-17.799999999999997
Hertha BSC,41.0,40.71,0.28999999999999915,34.0,11.0,8.0,15.0,48.0,59.0,-11.0,43.2,54.5,-11.299999999999997
Hoffenheim,52.0,45.730000000000004,6.269999999999996,34.0,15.0,7.0,12.0,53.0,53.0,0.0,56.0,59.5,-3.5
Köln,36.0,45.29,-9.29,34.0,10.0,6.0,18.0,51.0,69.0,-18.0,49.1,53.0,-3.8999999999999986
Leverkusen,63.0,51.39,11.61,34.0,19.0,6.0,9.0,61.0,44.0,17.0,58.800000000000004,51.400000000000006,7.399999999999999
M'Gladbach,65.0,60.49,4.509999999999998,34.0,20.0,5.0,9.0,66.0,40.0,26.0,72.1,45.9,26.199999999999996
Mainz 05,37.0,41.79,-4.789999999999999,34.0,11.0,4.0,19.0,44.0,65.0,-21.0,48.2,59.8,-11.599999999999994
Paderborn 07,20.0,31.78,-11.780000000000001,34.0,4.0,8.0,22.0,37.0,74.0,-37.0,39.1,67.0,-27.9
RB Leipzig,66.0,64.18,1.8199999999999932,34.0,18.0,12.0,4.0,81.0,37.0,44.0,71.0,39.0,32.0
Schalke 04,39.0,39.39,-0.39000000000000057,34.0,9.0,12.0,13.0,38.0,58.0,-20.0,37.8,51.7,-13.900000000000006
Union Berlin,41.0,39.74,1.259999999999998,34.0,12.0,5.0,17.0,41.0,58.0,-17.0,41.599999999999994,54.0,-12.400000000000006
Werder Bremen,31.0,37.93,-6.93,34.0,8.0,7.0,19.0,42.0,69.0,-27.0,39.3,55.2,-15.900000000000006
Wolfsburg,49.0,53.59,-4.590000000000003,34.0,13.0,10.0,11.0,48.0,46.0,2.0,53.0,42.7,10.299999999999997
