,points,xp,diff,played_games,wins,draws,losses,scored,suffered,goals_diff,xg_scored,xg_suffered,xg_diff
Augsburg,41.0,47.33,-6.329999999999998,34.0,10.0,11.0,13.0,43.0,46.0,-3.0,44.6,41.1,3.5
Bayern Munich,84.0,70.33,13.670000000000002,34.0,27.0,3.0,4.0,92.0,28.0,64.0,75.7,31.5,44.2
Dortmund,55.0,60.86,-5.859999999999999,34.0,15.0,10.0,9.0,64.0,47.0,17.0,66.0,42.3,23.700000000000003
Eint Frankfurt,49.0,47.34,1.6599999999999966,34.0,14.0,7.0,13.0,45.0,45.0,0.0,42.2,41.5,0.7000000000000028
Freiburg,36.0,41.83,-5.829999999999998,34.0,8.0,12.0,14.0,32.0,56.0,-24.0,39.7,46.0,-6.299999999999997
Hamburger SV,31.0,38.48,-7.479999999999997,34.0,8.0,7.0,19.0,29.0,53.0,-24.0,37.6,55.800000000000004,-18.200000000000003
Hannover 96,39.0,42.31,-3.3100000000000023,34.0,10.0,9.0,15.0,44.0,54.0,-10.0,44.599999999999994,55.8,-11.200000000000003
Hertha BSC,43.0,43.06,-0.060000000000002274,34.0,10.0,13.0,11.0,43.0,46.0,-3.0,39.3,44.3,-5.0
Hoffenheim,55.0,48.879999999999995,6.1200000000000045,34.0,15.0,10.0,9.0,66.0,48.0,18.0,50.4,47.2,3.1999999999999957
Köln,22.0,34.75,-12.75,34.0,5.0,7.0,22.0,35.0,70.0,-35.0,43.4,67.2,-23.800000000000004
Leverkusen,55.0,59.129999999999995,-4.1299999999999955,34.0,15.0,10.0,9.0,58.0,44.0,14.0,57.6,38.900000000000006,18.699999999999996
M'Gladbach,47.0,47.58,-0.5799999999999983,34.0,13.0,8.0,13.0,47.0,52.0,-5.0,51.1,52.2,-1.1000000000000014
Mainz 05,36.0,39.69,-3.6899999999999977,34.0,9.0,9.0,16.0,38.0,52.0,-14.0,35.4,48.1,-12.700000000000003
RB Leipzig,53.0,50.03,2.969999999999999,34.0,15.0,8.0,11.0,57.0,53.0,4.0,51.900000000000006,46.7,5.200000000000003
Schalke 04,63.0,50.379999999999995,12.620000000000005,34.0,18.0,9.0,7.0,53.0,37.0,16.0,46.6,40.3,6.300000000000004
Stuttgart,51.0,45.08,5.920000000000002,34.0,15.0,6.0,13.0,36.0,36.0,0.0,39.9,43.4,-3.5
Werder Bremen,42.0,42.739999999999995,-0.7399999999999949,34.0,10.0,12.0,12.0,37.0,40.0,-3.0,38.8,44.8,-6.0
Wolfsburg,33.0,36.19,-3.1899999999999977,34.0,6.0,15.0,13.0,36.0,48.0,-12.0,34.3,52.0,-17.700000000000003
