,points,xp,diff,played_games,wins,draws,losses,scored,suffered,goals_diff,xg_scored,xg_suffered,xg_diff
Atalanta,60.0,67.46000000000001,-7.460000000000008,38.0,16.0,12.0,10.0,57.0,39.0,18.0,63.7,36.6,27.1
Benevento,21.0,34.39,-13.39,38.0,6.0,3.0,29.0,33.0,84.0,-51.0,38.3,73.4,-35.10000000000001
Bologna,39.0,42.379999999999995,-3.3799999999999955,38.0,11.0,6.0,21.0,40.0,52.0,-12.0,36.7,51.5,-14.799999999999997
Cagliari,39.0,41.620000000000005,-2.6200000000000045,38.0,11.0,6.0,21.0,33.0,61.0,-28.0,39.5,59.3,-19.799999999999997
Chievo,40.0,38.989999999999995,1.0100000000000051,38.0,10.0,10.0,18.0,36.0,59.0,-23.0,34.0,55.0,-21.0
Crotone,35.0,38.07,-3.0700000000000003,38.0,9.0,8.0,21.0,40.0,66.0,-26.0,34.599999999999994,58.6,-24.000000000000007
Fiorentina,57.0,61.66,-4.659999999999997,38.0,16.0,9.0,13.0,54.0,46.0,8.0,54.6,40.6,14.0
Genoa,41.0,51.14,-10.14,38.0,11.0,8.0,19.0,33.0,43.0,-10.0,43.6,42.6,1.0
Hellas Verona,25.0,31.839999999999996,-6.839999999999996,38.0,7.0,4.0,27.0,30.0,78.0,-48.0,33.2,70.3,-37.099999999999994
Inter,72.0,62.57000000000001,9.429999999999993,38.0,20.0,12.0,6.0,66.0,30.0,36.0,56.7,37.1,19.6
Juventus,95.0,70.50999999999999,24.49000000000001,38.0,30.0,5.0,3.0,86.0,24.0,62.0,55.4,27.2,28.2
Lazio,72.0,63.230000000000004,8.769999999999996,38.0,21.0,9.0,8.0,89.0,49.0,40.0,64.0,43.8,20.200000000000003
Milan,64.0,61.28999999999999,2.710000000000008,38.0,18.0,10.0,10.0,56.0,42.0,14.0,51.1,37.0,14.100000000000001
Napoli,91.0,77.05000000000001,13.949999999999989,38.0,28.0,7.0,3.0,77.0,29.0,48.0,67.3,26.799999999999997,40.5
Roma,77.0,67.16,9.840000000000003,38.0,23.0,8.0,7.0,61.0,28.0,33.0,63.2,37.0,26.200000000000003
SPAL,38.0,38.43,-0.4299999999999997,38.0,8.0,14.0,16.0,39.0,59.0,-20.0,35.8,57.5,-21.700000000000003
Sampdoria,54.0,48.81,5.189999999999998,38.0,16.0,6.0,16.0,56.0,60.0,-4.0,53.2,60.4,-7.199999999999996
Sassuolo,43.0,51.34,-8.340000000000003,38.0,11.0,10.0,17.0,29.0,59.0,-30.0,46.2,49.099999999999994,-2.8999999999999915
Torino,54.0,51.54,2.460000000000001,38.0,13.0,15.0,10.0,54.0,46.0,8.0,46.099999999999994,47.0,-0.9000000000000057
Udinese,40.0,47.16,-7.159999999999997,38.0,12.0,4.0,22.0,48.0,63.0,-15.0,43.0,49.4,-6.399999999999999
