,points,xp,diff,played_games,wins,draws,losses,scored,suffered,goals_diff,xg_scored,xg_suffered,xg_diff
Alavés,47.0,41.540000000000006,5.459999999999994,38.0,15.0,2.0,21.0,40.0,50.0,-10.0,38.400000000000006,55.9,-17.499999999999993
Athletic Club,43.0,53.3,-10.299999999999997,38.0,10.0,13.0,15.0,41.0,49.0,-8.0,49.900000000000006,50.3,-0.3999999999999915
Atlético Madrid,79.0,59.93000000000001,19.069999999999993,38.0,23.0,10.0,5.0,58.0,22.0,36.0,50.2,35.900000000000006,14.299999999999997
Barcelona,93.0,74.42,18.58,38.0,28.0,9.0,1.0,99.0,29.0,70.0,83.3,41.8,41.5
Betis,60.0,50.46,9.54,38.0,18.0,6.0,14.0,60.0,61.0,-1.0,45.900000000000006,49.2,-3.299999999999997
Celta Vigo,49.0,51.61,-2.6099999999999994,38.0,13.0,10.0,15.0,59.0,60.0,-1.0,55.2,55.1,0.10000000000000142
Eibar,51.0,50.8,0.20000000000000284,38.0,14.0,9.0,15.0,44.0,50.0,-6.0,40.900000000000006,44.400000000000006,-3.5
Espanyol,49.0,45.349999999999994,3.6500000000000057,38.0,12.0,13.0,13.0,36.0,42.0,-6.0,41.2,52.3,-11.099999999999994
Getafe,55.0,56.04,-1.0399999999999991,38.0,15.0,10.0,13.0,42.0,33.0,9.0,48.0,39.7,8.299999999999997
Girona,51.0,52.79,-1.7899999999999991,38.0,14.0,9.0,15.0,50.0,59.0,-9.0,50.7,50.4,0.30000000000000426
La Coruña,29.0,51.11,-22.11,38.0,6.0,11.0,21.0,38.0,76.0,-38.0,51.5,58.8,-7.299999999999997
Las Palmas,22.0,34.55,-12.549999999999997,38.0,5.0,7.0,26.0,24.0,74.0,-50.0,38.099999999999994,70.3,-32.2
Leganés,43.0,46.51,-3.509999999999998,38.0,12.0,7.0,19.0,34.0,51.0,-17.0,39.8,47.5,-7.700000000000003
Levante,46.0,42.68,3.3200000000000003,38.0,11.0,13.0,14.0,44.0,58.0,-14.0,44.5,63.8,-19.299999999999997
Málaga,20.0,39.86,-19.86,38.0,5.0,5.0,28.0,24.0,61.0,-37.0,38.5,59.4,-20.9
Real Madrid,76.0,76.32,-0.3199999999999932,38.0,22.0,10.0,6.0,94.0,44.0,50.0,85.4,42.900000000000006,42.5
Real Sociedad,49.0,54.78,-5.780000000000001,38.0,14.0,7.0,17.0,66.0,59.0,7.0,53.5,50.3,3.200000000000003
Sevilla,58.0,56.120000000000005,1.8799999999999955,38.0,17.0,7.0,14.0,49.0,58.0,-9.0,59.5,54.3,5.200000000000003
Valencia,73.0,56.480000000000004,16.519999999999996,38.0,22.0,7.0,9.0,65.0,38.0,27.0,55.5,48.1,7.399999999999999
Villarreal,61.0,53.230000000000004,7.769999999999996,38.0,18.0,7.0,13.0,57.0,50.0,7.0,53.6,53.2,0.3999999999999986
