,points,xp,diff,played_games,wins,draws,losses,scored,suffered,goals_diff,xg_scored,xg_suffered,xg_diff
Arsenal,70.0,56.91,13.090000000000003,38.0,21.0,7.0,10.0,73.0,51.0,22.0,60.1,54.2,5.899999999999999
Bournemouth,45.0,50.57,-5.57,38.0,13.0,6.0,19.0,56.0,70.0,-14.0,53.2,56.8,-3.5999999999999943
Brighton,36.0,37.9,-1.8999999999999986,38.0,9.0,9.0,20.0,35.0,60.0,-25.0,35.2,59.1,-23.9
Burnley,40.0,43.769999999999996,-3.769999999999996,38.0,11.0,7.0,20.0,45.0,68.0,-23.0,44.6,62.0,-17.4
Cardiff City,34.0,41.739999999999995,-7.739999999999995,38.0,10.0,4.0,24.0,34.0,69.0,-35.0,42.1,61.4,-19.299999999999997
Chelsea,72.0,67.78,4.219999999999999,38.0,21.0,9.0,8.0,63.0,39.0,24.0,58.4,36.3,22.1
Crystal Palace,49.0,50.7,-1.7000000000000028,38.0,14.0,7.0,17.0,51.0,53.0,-2.0,47.7,50.3,-2.5999999999999943
Everton,54.0,55.81,-1.8100000000000023,38.0,15.0,9.0,14.0,54.0,46.0,8.0,49.7,45.3,4.400000000000006
Fulham,26.0,37.57,-11.57,38.0,7.0,5.0,26.0,34.0,81.0,-47.0,41.3,67.9,-26.60000000000001
Huddersfield,16.0,33.67,-17.67,38.0,3.0,7.0,28.0,22.0,76.0,-54.0,28.700000000000003,61.0,-32.3
Leicester City,52.0,56.72,-4.719999999999999,38.0,15.0,7.0,16.0,51.0,48.0,3.0,52.400000000000006,43.8,8.600000000000009
Liverpool,97.0,78.07,18.930000000000007,38.0,30.0,7.0,1.0,89.0,22.0,67.0,73.7,28.5,45.2
Manchester City,98.0,84.97999999999999,13.02000000000001,38.0,32.0,2.0,4.0,95.0,23.0,72.0,84.30000000000001,25.0,59.30000000000001
Manchester Utd,66.0,57.58,8.420000000000002,38.0,19.0,9.0,10.0,65.0,54.0,11.0,61.5,50.8,10.700000000000003
Newcastle Utd,45.0,41.84,3.1599999999999966,38.0,12.0,9.0,17.0,42.0,48.0,-6.0,39.0,53.5,-14.5
Southampton,39.0,46.22,-7.219999999999999,38.0,9.0,12.0,17.0,45.0,65.0,-20.0,46.7,55.3,-8.599999999999994
Tottenham,71.0,57.86,13.14,38.0,23.0,2.0,13.0,67.0,39.0,28.0,54.599999999999994,47.0,7.599999999999994
Watford,50.0,46.8,3.200000000000003,38.0,14.0,8.0,16.0,52.0,59.0,-7.0,48.3,59.1,-10.800000000000004
West Ham,52.0,46.040000000000006,5.959999999999994,38.0,15.0,7.0,16.0,52.0,55.0,-3.0,47.9,61.9,-14.0
Wolves,57.0,58.599999999999994,-1.5999999999999943,38.0,16.0,9.0,13.0,47.0,46.0,1.0,51.9,42.1,9.799999999999997
