,points,xp,diff,played_games,wins,draws,losses,scored,suffered,goals_diff,xg_scored,xg_suffered,xg_diff
Atalanta,69.0,69.18,-0.18000000000000682,38.0,20.0,9.0,9.0,77.0,46.0,31.0,72.4,41.4,31.000000000000007
Bologna,44.0,49.11,-5.109999999999999,38.0,11.0,11.0,16.0,48.0,56.0,-8.0,46.8,49.099999999999994,-2.299999999999997
Cagliari,41.0,41.03,-0.030000000000001137,38.0,10.0,11.0,17.0,36.0,54.0,-18.0,42.1,61.900000000000006,-19.800000000000004
Chievo,20.0,37.22,-17.22,38.0,2.0,14.0,22.0,25.0,75.0,-50.0,36.0,60.5,-24.5
Empoli,38.0,47.06,-9.060000000000002,38.0,10.0,8.0,20.0,51.0,70.0,-19.0,52.2,64.0,-11.799999999999997
Fiorentina,41.0,60.129999999999995,-19.129999999999995,38.0,8.0,17.0,13.0,47.0,45.0,2.0,53.9,40.8,13.100000000000001
Frosinone,25.0,39.32,-14.32,38.0,5.0,10.0,23.0,29.0,69.0,-40.0,38.7,62.0,-23.299999999999997
Genoa,38.0,48.989999999999995,-10.989999999999995,38.0,8.0,14.0,16.0,39.0,57.0,-18.0,47.0,53.2,-6.200000000000003
Inter,69.0,69.49000000000001,-0.4900000000000091,38.0,20.0,9.0,9.0,57.0,33.0,24.0,63.8,37.9,25.9
Juventus,90.0,67.47999999999999,22.52000000000001,38.0,28.0,6.0,4.0,70.0,30.0,40.0,60.7,35.6,25.1
Lazio,59.0,59.760000000000005,-0.7600000000000051,38.0,17.0,8.0,13.0,56.0,46.0,10.0,60.400000000000006,46.900000000000006,13.5
Milan,68.0,57.31,10.689999999999998,38.0,19.0,11.0,8.0,55.0,36.0,19.0,48.9,41.0,7.899999999999999
Napoli,79.0,67.97,11.030000000000001,38.0,24.0,7.0,7.0,74.0,36.0,38.0,61.699999999999996,38.099999999999994,23.6
Parma,41.0,37.27,3.729999999999997,38.0,10.0,11.0,17.0,41.0,61.0,-20.0,40.2,65.1,-24.89999999999999
Roma,66.0,59.83,6.170000000000002,38.0,18.0,12.0,8.0,66.0,48.0,18.0,64.3,52.1,12.199999999999996
SPAL,42.0,47.459999999999994,-5.459999999999994,38.0,11.0,9.0,18.0,44.0,56.0,-12.0,43.9,51.7,-7.800000000000004
Sampdoria,53.0,49.96,3.039999999999999,38.0,15.0,8.0,15.0,60.0,51.0,9.0,50.5,54.8,-4.299999999999997
Sassuolo,43.0,47.17,-4.170000000000002,38.0,9.0,16.0,13.0,53.0,60.0,-7.0,48.5,57.599999999999994,-9.099999999999994
Torino,63.0,51.79,11.21,38.0,16.0,15.0,7.0,52.0,37.0,15.0,46.400000000000006,47.5,-1.0999999999999943
Udinese,43.0,40.769999999999996,2.230000000000004,38.0,11.0,10.0,17.0,39.0,53.0,-14.0,42.4,59.599999999999994,-17.199999999999996
